;is_bruch;is_hollow;has_blume;has_rost_head;has_rost_body;is_bended;is_violet;very_thick;thick;medium_thick;thin;very_thin;unclassified;auto_violet;auto_blooming;auto_length;auto_rust_head;auto_rust_body;auto_width;auto_bended;filenames
4500;;0;1;0;1;0;0;;;;;;;0;;238;;;18;23;['Z:/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/0/4/4500_a.png', 'Z:/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/0/4/4500_b.png', 'Z:/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/0/4/4500_c.png']
4501;;0;0;0;0;0;0;;;;;;;0;;172;;;18;10;['Z:/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/0/4/4501_a.png', 'Z:/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/0/4/4501_b.png', 'Z:/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/0/4/4501_c.png']
4502;;0;0;1;1;0;0;;;;;;;0;;239;;;25;28;['Z:/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/0/4/4502_a.png', 'Z:/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/0/4/4502_b.png', 'Z:/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/0/4/4502_c.png']
4503;;0;0;0;1;0;0;;;;;;;0;;241;;;19;12;['Z:/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/0/4/4503_a.png', 'Z:/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/0/4/4503_b.png', 'Z:/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/0/4/4503_c.png']
4504;;0;0;0;1;0;0;;;;;;;0;;239;;;16;18;['Z:/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/0/4/4504_a.png', 'Z:/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/0/4/4504_b.png', 'Z:/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/0/4/4504_c.png']
4505;;0;0;1;1;0;0;;;;;;;0;;239;;;22;53;['Z:/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/0/4/4505_a.png', 'Z:/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/0/4/4505_b.png', 'Z:/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/0/4/4505_c.png']
4506;;1;0;0;1;0;0;;;;;;;0;;240;;;32;4;['Z:/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/0/4/4506_a.png', 'Z:/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/0/4/4506_b.png', 'Z:/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/0/4/4506_c.png']
4507;;0;0;0;0;0;0;;;;;;;0;;237;;;15;18;['Z:/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/0/4/4507_a.png', 'Z:/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/0/4/4507_b.png', 'Z:/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/0/4/4507_c.png']
4508;;0;1;1;1;0;0;;;;;;;0;;240;;;16;148;['Z:/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/0/4/4508_a.png', 'Z:/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/0/4/4508_b.png', 'Z:/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/0/4/4508_c.png']
4509;;1;0;0;0;0;0;;;;;;;0;;239;;;25;10;['Z:/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/0/4/4509_a.png', 'Z:/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/0/4/4509_b.png', 'Z:/net/projects/scratch/summer/valid_until_31_January_2020/asparagus/preprocessed_images/without_background_pngs/0/4/4509_c.png']
