feature,evaluation_measure,score,annotators
is_hollow,kappa,0.5717344753747323,Malin Katha
has_blume,kappa,0.718785151856018,Malin Katha
has_rost_head,kappa,0.823321554770318,Malin Katha
has_rost_body,kappa,0.6924969249692496,Malin Katha
is_bended,kappa,0.26340601060695334,Malin Katha
is_violet,kappa,0.5740149094781684,Malin Katha
is_hollow,accuracy,0.92,Malin Katha
has_blume,accuracy,0.9,Malin Katha
has_rost_head,accuracy,0.92,Malin Katha
has_rost_body,accuracy,0.9,Malin Katha
is_bended,accuracy,0.5,Malin Katha
is_violet,accuracy,0.84,Malin Katha
is_hollow,f1,0.9496507936507936,Malin Katha
has_blume,f1,0.9096925858951174,Malin Katha
has_rost_head,f1,0.9215900621118013,Malin Katha
has_rost_body,f1,0.8953791887125219,Malin Katha
is_bended,f1,0.5160224089635855,Malin Katha
is_violet,f1,0.8658901098901097,Malin Katha
