feature,evaluation_measure,score,annotators
is_hollow,kappa score,1.0,_maren_malin
has_blume,kappa score,1.0,_maren_malin
has_rost_head,kappa score,0.6535796766743649,_maren_malin
has_rost_body,kappa score,0.6307237813884786,_maren_malin
is_bended,kappa score,0.33333333333333337,_maren_malin
is_violet,kappa score,0.7981157469717362,_maren_malin
is_hollow,accuracy score,1.0,_maren_malin
has_blume,accuracy score,1.0,_maren_malin
has_rost_head,accuracy score,0.82,_maren_malin
has_rost_body,accuracy score,0.9,_maren_malin
is_bended,accuracy score,0.58,_maren_malin
is_violet,accuracy score,0.94,_maren_malin
is_hollow,f1 score,1.0,_maren_malin
has_blume,f1 score,1.0,_maren_malin
has_rost_head,f1 score,0.8067281105990785,_maren_malin
has_rost_body,f1 score,0.9248366013071895,_maren_malin
is_bended,f1 score,0.5471048951048951,_maren_malin
is_violet,f1 score,0.9329025191675794,_maren_malin
