feature,evaluation_measure,score,annotators
is_hollow,kappa score,1.0,_sophia_malin
has_blume,kappa score,0.8711340206185567,_sophia_malin
has_rost_head,kappa score,0.8570066730219257,_sophia_malin
has_rost_body,kappa score,0.3159609120521173,_sophia_malin
is_bended,kappa score,0.5719844357976653,_sophia_malin
is_violet,kappa score,0.7744360902255638,_sophia_malin
is_hollow,accuracy score,1.0,_sophia_malin
has_blume,accuracy score,0.96,_sophia_malin
has_rost_head,accuracy score,0.94,_sophia_malin
has_rost_body,accuracy score,0.58,_sophia_malin
is_bended,accuracy score,0.78,_sophia_malin
is_violet,accuracy score,0.94,_sophia_malin
is_hollow,f1 score,1.0,_sophia_malin
has_blume,f1 score,0.9571544715447154,_sophia_malin
has_rost_head,f1 score,0.9410176125244618,_sophia_malin
has_rost_body,f1 score,0.5287457627118645,_sophia_malin
is_bended,f1 score,0.7568912466843501,_sophia_malin
is_violet,f1 score,0.9370196078431373,_sophia_malin
