feature,evaluation_measure,score,annotators
is_hollow,kappa,0.5717344753747323,Maren Katha
has_blume,kappa,0.718785151856018,Maren Katha
has_rost_head,kappa,0.6616541353383458,Maren Katha
has_rost_body,kappa,0.684044233807267,Maren Katha
is_bended,kappa,0.6084573218480814,Maren Katha
is_violet,kappa,0.7527200791295747,Maren Katha
is_hollow,accuracy,0.92,Maren Katha
has_blume,accuracy,0.9,Maren Katha
has_rost_head,accuracy,0.82,Maren Katha
has_rost_body,accuracy,0.92,Maren Katha
is_bended,accuracy,0.8,Maren Katha
is_violet,accuracy,0.9,Maren Katha
is_hollow,f1,0.9496507936507936,Maren Katha
has_blume,f1,0.9096925858951174,Maren Katha
has_rost_head,f1,0.8117564402810303,Maren Katha
has_rost_body,f1,0.9324252491694353,Maren Katha
is_bended,f1,0.7923809523809524,Maren Katha
is_violet,f1,0.906984126984127,Maren Katha
